intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative
1573000,0.4774624373956594,0.8072876571721838,0.4774624373956594,0.6933430591380224,83.63127781309599,4.0,4324.483234133536,/data/shared_data/KEGG_data/sourmash_sketches/output_KOs/KOs_sketched/KOs_sketched_scaled_100.sig.zip,ko:K02014,5e6b8f90686d0551049c22361a1de0cd,0.8072876571721838,1573000,0,829000,/data/dmk333/temp/FreshFun/FunUniFrac/experiments/QIITA_study/joined/EGAF00002727226.fastq,,0dbd9834,3294500,5,protein,100,32945,True,0.918821489376192,0.9580885775818887,0.9384550334790404,0.9580885775818887,False
1428300,0.4335407497344058,0.15145325084627057,0.07876764304143269,0.035635341353608546,26.055105973025046,3.0,371.73969756225733,/data/shared_data/KEGG_data/sourmash_sketches/output_KOs/KOs_sketched/KOs_sketched_scaled_100.sig.zip,ko:K12132,d8a8adeb772ecf49409662e13af4b789,0.8336056962764095,259500,1,569500,/data/dmk333/temp/FreshFun/FunUniFrac/experiments/QIITA_study/joined/EGAF00002727226.fastq,,0dbd9834,3294500,5,protein,100,32945,True,0.901258319322771,0.9642555222384659,0.9327569207806184,0.9642555222384659,False
1457300,0.442343299438458,0.06570621468926553,0.035301259675216266,0.005808076282915507,9.47549441100602,2.0,47.880979297586265,/data/shared_data/KEGG_data/sourmash_sketches/output_KOs/KOs_sketched/KOs_sketched_scaled_100.sig.zip,ko:K02004,5fb1f7596c0118aabb244a220b3a82fa,0.8233333333333334,116300,2,453200,/data/dmk333/temp/FreshFun/FunUniFrac/experiments/QIITA_study/joined/EGAF00002727226.fastq,,0dbd9834,3294500,5,protein,100,32945,True,0.9048887572348014,0.9618672538434242,0.9333780055391128,0.9618672538434242,False
1343500,0.4078008802549704,0.03955462598425197,0.019517377447260585,0.002178819179090082,6.429237947122862,2.0,22.13199236500116,/data/shared_data/KEGG_data/sourmash_sketches/output_KOs/KOs_sketched/KOs_sketched_scaled_100.sig.zip,ko:K20276,1b86018ba987bbdaeb63bae2f7853d83,0.8264640748031497,64300,3,388900,/data/dmk333/temp/FreshFun/FunUniFrac/experiments/QIITA_study/joined/EGAF00002727226.fastq,,0dbd9834,3294500,5,protein,100,32945,True,0.890292948393987,0.962597647646626,0.9264452980203065,0.962597647646626,False
1354000,0.4109880103202307,0.029021000428580176,0.014387615723174988,0.0015453066843473925,6.185654008438819,2.0,17.115126581641352,/data/shared_data/KEGG_data/sourmash_sketches/output_KOs/KOs_sketched/KOs_sketched_scaled_100.sig.zip,ko:K03406,95fe9eb788ba7b09adf12cc028557118,0.8289965101328599,47400,4,341500,/data/dmk333/temp/FreshFun/FunUniFrac/experiments/QIITA_study/joined/EGAF00002727226.fastq,,0dbd9834,3294500,5,protein,100,32945,True,0.8916802187535353,0.9631868405723644,0.9274335296629499,0.9631868405723644,False
1088100,0.3302777356199727,0.02836273214701997,0.011079071179238124,0.18824807969819085,978.5589041095891,3.0,18459.09604652269,/data/shared_data/KEGG_data/sourmash_sketches/output_KOs/KOs_sketched/KOs_sketched_scaled_100.sig.zip,ko:K01897,8107c30a826017ac989cb7b0310ba13b,0.8455202424430802,36500,5,305000,/data/dmk333/temp/FreshFun/FunUniFrac/experiments/QIITA_study/joined/EGAF00002727226.fastq,,0dbd9834,3294500,5,protein,100,32945,True,0.8535307292938038,0.96699627669001,0.9102635029919068,0.96699627669001,False
1169200,0.3548945211716497,0.021291952363767592,0.008954317802397936,0.002467114798577812,15.867796610169492,2.0,133.56712073935972,/data/shared_data/KEGG_data/sourmash_sketches/output_KOs/KOs_sketched/KOs_sketched_scaled_100.sig.zip,ko:K01992,7706641a8bf77c209648b05570650690,0.8438830747022735,29500,6,275500,/data/dmk333/temp/FreshFun/FunUniFrac/experiments/QIITA_study/joined/EGAF00002727226.fastq,,0dbd9834,3294500,5,protein,100,32945,True,0.8658908705594697,0.9666215103351465,0.9162561904473081,0.9666215103351465,False
1281700,0.38904234329943843,0.01582057309867209,0.007558051297617241,0.0006387829813878034,4.867469879518072,2.0,10.359913961673112,/data/shared_data/KEGG_data/sourmash_sketches/output_KOs/KOs_sketched/KOs_sketched_scaled_100.sig.zip,ko:K02035,0fd5fbbad3e758d91630d79013071a7d,0.8143465277336552,24900,7,250600,/data/dmk333/temp/FreshFun/FunUniFrac/experiments/QIITA_study/joined/EGAF00002727226.fastq,,0dbd9834,3294500,5,protein,100,32945,True,0.8819473837378532,0.9597582407721943,0.9208528122550237,0.9597582407721943,False
888600,0.26972226438002733,0.019736208722441514,0.006222492032174837,0.0009507957907785458,8.8,2.0,40.75966442332958,/data/shared_data/KEGG_data/sourmash_sketches/output_KOs/KOs_sketched/KOs_sketched_scaled_100.sig.zip,ko:K07497,41f716ce938b3e704de0fe4ddcaa08e7,0.8554924424761722,20500,8,230100,/data/dmk333/temp/FreshFun/FunUniFrac/experiments/QIITA_study/joined/EGAF00002727226.fastq,,0dbd9834,3294500,5,protein,100,32945,True,0.8196466367223406,0.9692665728479872,0.8944566047851639,0.9692665728479872,False
548900,0.1666110183639399,0.02444832513097317,0.004674457429048414,0.0003694611138224837,4.5519480519480515,2.0,9.05111186955633,/data/shared_data/KEGG_data/sourmash_sketches/output_KOs/KOs_sketched/KOs_sketched_scaled_100.sig.zip,ko:K07496,d40e5d79876e75fa8ca5c090c36b9aab,0.8714081600254009,15400,9,214700,/data/dmk333/temp/FreshFun/FunUniFrac/experiments/QIITA_study/joined/EGAF00002727226.fastq,,0dbd9834,3294500,5,protein,100,32945,True,0.7443617453716379,0.9728465083020233,0.8586041268368306,0.9728465083020233,False
